Symbol,Description,% Portfolio Weight,Shares Held,Market Value
MRNA,Moderna Inc,0.34%,7.1M,$865.4M
KDP,Keurig Dr Pepper Inc,0.34%,26.0M,$877.7M
AEP,American Electric Power Co Inc,0.34%,9.8M,$884.7M
ADSK,Autodesk Inc,0.33%,4.0M,$859.0M
FTNT,Fortinet Inc,0.33%,14.3M,$848.4M
DASH,DoorDash Inc Ordinary Shares - Class A,0.32%,7.0M,$813.7M
KHC,The Kraft Heinz Co,0.32%,22.7M,$812.8M
AZN,AstraZeneca PLC ADR,0.32%,10.9M,$831.5M
ROST,Ross Stores Inc,0.32%,6.3M,$828.8M
PAYX,Paychex Inc,0.32%,6.8M,$823.1M
LULU,Lululemon Athletica Inc,0.31%,2.3M,$792.5M
ODFL,Old Dominion Freight Line Inc Ordinary S...,0.29%,4.1M,$752.6M
IDXX,IDEXX Laboratories Inc,0.29%,1.6M,$751.9M
TTD,The Trade Desk Inc Class A,0.29%,8.3M,$746.3M
EXC,Exelon Corp,0.28%,18.7M,$708.9M
FAST,Fastenal Co,0.28%,10.7M,$711.0M
CSGP,CoStar Group Inc,0.28%,7.6M,$706.5M
CHTR,Charter Communications Inc Class A,0.28%,2.7M,$728.2M
GEHC,GE HealthCare Technologies Inc Common St...,0.27%,8.5M,$693.7M
FANG,Diamondback Energy Inc,0.26%,3.3M,$680.0M
VRSK,Verisk Analytics Inc,0.26%,2.7M,$662.6M
EA,Electronic Arts Inc,0.25%,5.0M,$651.4M
DDOG,Datadog Inc Class A,0.25%,5.7M,$644.1M
CTSH,Cognizant Technology Solutions Corp Clas...,0.25%,9.3M,$630.2M
--,Coca-Cola Europacific Partners PLC,0.24%,8.5M,$626.4M
BKR,Baker Hughes Co Class A,0.23%,18.7M,$601.8M
BIIB,Biogen Inc,0.23%,2.7M,$595.4M
CDW,CDW Corp,0.22%,2.5M,$554.2M
ON,ON Semiconductor Corp,0.22%,8.0M,$566.0M
XEL,Xcel Energy Inc,0.22%,10.4M,$571.5M
GFS,GLOBALFOUNDRIES Inc,0.21%,10.2M,$545.8M
TEAM,Atlassian Corp A,0.21%,2.9M,$541.3M
ANSS,Ansys Inc,0.21%,1.6M,$529.2M
MDB,MongoDB Inc Class A,0.19%,1.4M,$480.7M
DLTR,Dollar Tree Inc,0.19%,4.1M,$496.0M
ZS,Zscaler Inc,0.19%,2.8M,$490.9M
TTWO,Take-Two Interactive Software Inc,0.18%,3.2M,$473.4M
WBD,Warner Bros. Discovery Inc Ordinary Shar...,0.14%,45.6M,$354.7M
ILMN,Illumina Inc,0.13%,3.0M,$335.4M
WBA,Walgreens Boots Alliance Inc,0.11%,16.1M,$279.9M
SIRI,Sirius XM Holdings Inc,0.09%,71.9M,$225.0M
--,Cash,0.09%,241.6M,$241.6M
